customer_id,first_name,last_name,segment,region,city,signup_date
C00001,Freya,Patel,Consumer,South East,Reading,2022-02-21
C00002,Sophia,Hall,Consumer,East of England,Peterborough,2022-07-29
C00003,James,Taylor,Consumer,South West,Exeter,2022-03-07
C00004,James,Hall,Consumer,North East,Durham,2025-05-17
C00005,Ava,White,Small Business,North East,Sunderland,2024-05-09
C00006,Henry,Walker,Corporate,London,London,2022-11-23
C00007,Arthur,Wright,Consumer,East of England,Cambridge,2023-03-17
C00008,Emily,Thompson,Small Business,South West,Plymouth,2022-07-18
C00009,Lily,Brown,Corporate,London,London,2024-07-29
C00010,Alfie,Clarke,Corporate,North East,Durham,2023-08-24
C00011,William,Jones,Small Business,West Midlands,Birmingham,2025-12-13
C00012,Evie,Davies,Consumer,North West,Chester,2022-06-13
C00013,Leo,Thompson,Consumer,North West,Preston,2024-07-17
C00014,Sophia,Patel,Small Business,Yorkshire,Leeds,2023-03-06
C00015,Amelia,Hall,Small Business,Scotland,Edinburgh,2025-07-24
C00016,Charlie,Patel,Small Business,East of England,Peterborough,2024-08-04
C00017,Sophia,Wright,Consumer,North East,Newcastle,2023-03-26
C00018,Charlie,Patel,Consumer,London,London,2023-10-09
C00019,Harry,Roberts,Corporate,Scotland,Dundee,2023-10-07
C00020,George,Davies,Small Business,East of England,Peterborough,2023-06-27
C00021,Freya,Thomas,Corporate,North East,Durham,2023-06-23
C00022,Ava,Williams,Small Business,South West,Bath,2024-01-12
C00023,Evie,Brown,Consumer,South East,Reading,2022-04-07
C00024,William,Evans,Corporate,South West,Bath,2025-05-06
C00025,Lily,Smith,Small Business,North East,Durham,2023-05-30
C00026,Theo,Hall,Corporate,South East,Oxford,2025-10-28
C00027,Poppy,Wilson,Corporate,South East,Brighton,2023-08-25
C00028,Arthur,Wilson,Small Business,North West,Manchester,2024-10-22
C00029,Thomas,Clarke,Consumer,North West,Liverpool,2025-08-01
C00030,Lily,Green,Consumer,Yorkshire,York,2022-11-27
C00031,Emma,Thompson,Corporate,East Midlands,Nottingham,2022-02-09
C00032,Theo,Thomas,Consumer,London,London,2023-05-09
C00033,Arthur,Hall,Consumer,East Midlands,Nottingham,2022-05-22
C00034,Amelia,Patel,Small Business,East Midlands,Lincoln,2025-01-30
C00035,Arthur,Johnson,Small Business,West Midlands,Coventry,2025-01-09
C00036,Leo,Thompson,Corporate,South West,Bath,2025-10-07
C00037,Ava,Taylor,Corporate,South East,Brighton,2023-05-23
C00038,Ava,Thomas,Consumer,Scotland,Glasgow,2025-02-08
C00039,Leo,Jones,Consumer,South East,Brighton,2025-12-20
C00040,William,Green,Consumer,London,London,2023-11-08
C00041,Lily,Williams,Small Business,East Midlands,Lincoln,2023-03-15
C00042,Mia,Walker,Consumer,West Midlands,Birmingham,2024-08-26
C00043,Poppy,Thompson,Corporate,South East,Canterbury,2025-09-11
C00044,Sophia,Brown,Consumer,East Midlands,Lincoln,2022-04-21
C00045,Ava,Johnson,Consumer,Yorkshire,Hull,2022-08-12
C00046,Amelia,Patel,Corporate,East of England,Cambridge,2024-05-14
C00047,Mia,Hall,Consumer,South East,Brighton,2024-06-26
C00048,William,Davies,Consumer,North East,Sunderland,2022-01-31
C00049,Harry,Evans,Consumer,East Midlands,Nottingham,2024-09-12
C00050,Charlie,Patel,Corporate,South West,Plymouth,2022-01-05
C00051,Freya,Hall,Small Business,South West,Bath,2025-11-27
C00052,Isla,Johnson,Consumer,East of England,Peterborough,2023-01-24
C00053,Freya,Wright,Consumer,North East,Newcastle,2022-05-05
C00054,Thomas,Green,Consumer,Scotland,Glasgow,2024-09-03
